val_mIoU,val_F1,val_OA,epoch,step,train_mIoU,train_F1,train_OA
0.7257315209868418,0.8322837744084237,0.8857670715632305,0,235,,,
,,,0,235,0.5474962284903536,0.6848037708447517,0.7736552740458587
